ID_Review,Review_Date,Gambar_Ke,Image_FileName,Kamar,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan
1,5/4/2026,1,R1_G1_687bd728.jpg,None,Positif,None,None,None,Positif,None
2,4/18/2026,1,R2_G1_eb4fea87.jpg,None,None,None,None,Positif,None,None
2,4/18/2026,2,R2_G2_3b6a9a2a.jpg,Netral,Netral,None,None,None,None,None
2,4/18/2026,3,R2_G3_ecd0ece1.jpg,Positif,Positif,None,None,None,None,None
2,4/18/2026,4,R2_G4_291b1579.jpg,Positif,Positif,None,None,None,None,None
2,4/18/2026,5,R2_G5_17136c82.jpg,Positif,Positif,None,None,None,None,None
3,4/4/2026,1,R3_G1_f3146238.jpg,Positif,Positif,None,None,None,None,None
4,4/4/2026,1,R4_G1_3c26b946.jpg,None,Positif,None,None,None,Positif,None
4,4/4/2026,2,R4_G2_b2760d8c.jpg,Positif,Positif,None,None,None,None,None
4,4/4/2026,3,R4_G3_d956a465.jpg,Positif,Positif,None,None,None,None,None
4,4/4/2026,4,R4_G4_46e886a6.jpg,None,Positif,Positif,None,None,Positif,None
5,3/28/2026,1,R5_G1_d18ef9e0.jpg,None,None,None,None,Positif,None,None
6,3/21/2026,1,R6_G1_baadb227.jpg,None,Positif,None,None,Positif,Positif,None
7,1/24/2026,1,R7_G1_bd193a75.jpg,None,None,None,None,Positif,None,None
8,1/24/2026,1,R8_G1_f71d1f79.jpg,None,Positif,Positif,None,None,Positif,None
8,1/24/2026,2,R8_G2_fd9c937e.jpg,None,Positif,None,None,Positif,Positif,None
8,1/24/2026,3,R8_G3_6d44c7f9.jpg,None,Positif,None,None,Positif,Positif,None
9,1/17/2026,1,R9_G1_250b5d12.jpg,Positif,Positif,None,None,None,None,None
9,1/17/2026,2,R9_G2_569c0244.jpg,Positif,Positif,None,None,None,None,None
10,1/17/2026,1,R10_G1_8debfff9.jpg,None,Positif,None,None,Positif,None,Positif
10,1/17/2026,2,R10_G2_b29ac5d6.jpg,None,Positif,None,None,None,None,Positif
11,1/10/2026,1,R11_G1_741f6701.jpg,Positif,Positif,None,None,None,None,None
11,1/10/2026,2,R11_G2_a1b28b48.jpg,Netral,Positif,None,None,None,None,None
11,1/10/2026,3,R11_G3_9bc2a871.jpg,None,None,None,None,Positif,None,None
11,1/10/2026,4,R11_G4_12b8c73a.jpg,None,None,None,None,None,None,None
12,1/10/2026,1,R12_G1_01f942c6.jpg,None,Positif,None,None,None,None,Positif
12,1/10/2026,2,R12_G2_ee02143b.jpg,None,Positif,None,None,None,None,Positif
12,1/10/2026,3,R12_G3_4a8cb5b3.jpg,None,Positif,Positif,None,None,Positif,None
13,1/10/2026,1,R13_G1_94201d18.jpg,Positif,Positif,None,None,None,None,None
13,1/10/2026,2,R13_G2_751344da.jpg,Positif,Positif,None,None,None,None,None
14,1/3/2026,1,R14_G1_e0c808bd.jpg,None,Positif,None,None,Positif,Positif,None
15,12/27/2025,1,R15_G1_aada0789.jpg,None,None,None,None,Positif,None,None
16,12/27/2025,1,R16_G1_ec7e2ac2.jpg,None,Positif,None,None,Positif,None,Positif
16,12/27/2025,2,R16_G2_70ae0678.jpg,None,Positif,None,None,None,None,Positif
17,12/20/2025,1,R17_G1_fe8c6d7c.jpg,None,Positif,None,None,None,Positif,None
17,12/20/2025,2,R17_G2_8938ea08.jpg,Positif,Positif,None,None,Netral,None,None
17,12/20/2025,3,R17_G3_586edcd5.jpg,None,None,None,None,Positif,None,None
17,12/20/2025,4,R17_G4_d0f15570.jpg,None,None,None,None,Positif,None,None
17,12/20/2025,5,R17_G5_6a04a7c2.jpg,None,None,None,None,Positif,None,None
17,12/20/2025,6,R17_G6_977132b4.jpg,None,Positif,None,None,Positif,Positif,None
18,12/20/2025,1,R18_G1_78ef1263.jpg,Netral,Netral,None,None,None,None,None
19,12/6/2025,1,R19_G1_807ab266.jpg,None,Positif,None,None,Positif,Positif,None
20,12/6/2025,1,R20_G1_24fa0ae1.jpg,None,Positif,None,None,None,None,Positif
21,11/22/2025,1,R21_G1_077ef05d.jpg,None,Netral,None,None,Positif,Positif,None
21,11/22/2025,2,R21_G2_affc48a6.jpg,Netral,Positif,None,None,None,None,None
21,11/22/2025,3,R21_G3_3b61fa1f.jpg,Positif,Positif,None,None,None,None,None
21,11/22/2025,4,R21_G4_6132d73b.jpg,Positif,Positif,None,None,None,None,None
21,11/22/2025,5,R21_G5_83ecd9d8.jpg,Netral,Positif,None,None,None,None,None
22,11/8/2025,1,R22_G1_61a3164c.jpg,Netral,Positif,None,None,None,None,None
22,11/8/2025,2,R22_G2_84aaafe9.jpg,Netral,Positif,None,None,None,None,None
22,11/8/2025,3,R22_G3_6deb03fb.jpg,Netral,Netral,None,None,None,None,Positif
22,11/8/2025,4,R22_G4_3d0acd92.jpg,Positif,Positif,None,None,Netral,None,None
23,11/8/2025,1,R23_G1_80037d3d.jpg,None,None,None,None,Positif,None,None
24,11/1/2025,1,R24_G1_562f9d4b.jpg,Positif,Positif,None,None,None,None,None
25,10/25/2025,1,R25_G1_28bf1276.jpg,Positif,Positif,None,None,None,None,None
25,10/25/2025,2,R25_G2_4b1e3b33.jpg,Positif,Positif,None,None,None,None,None
25,10/25/2025,3,R25_G3_ad737a39.jpg,Positif,Positif,None,None,None,None,None
25,10/25/2025,4,R25_G4_07bdb297.jpg,Positif,Positif,None,None,None,None,None
25,10/25/2025,5,R25_G5_b6945a2e.jpg,None,Positif,None,None,None,Positif,None
25,10/25/2025,6,R25_G6_ea102306.jpg,None,Positif,None,None,None,Positif,None
25,10/25/2025,7,R25_G7_1e6ab5d2.jpg,None,Positif,None,None,Positif,Positif,None
25,10/25/2025,8,R25_G8_7e381646.jpg,None,Positif,None,None,None,Positif,None
25,10/25/2025,9,R25_G9_92cc4f9d.jpg,None,Positif,None,None,None,Positif,None
26,10/18/2025,1,R26_G1_4b17937f.jpg,Netral,Positif,None,None,None,None,None
27,10/11/2025,1,R27_G1_ab955912.jpg,None,Positif,None,None,None,None,Positif
27,10/11/2025,2,R27_G2_be29f205.jpg,None,Positif,None,None,None,None,Positif
27,10/11/2025,3,R27_G3_91cabd73.jpg,Positif,Positif,None,None,Positif,None,None
28,10/11/2025,1,R28_G1_ac4c2435.jpg,Positif,Positif,None,None,None,None,None
29,10/11/2025,1,R29_G1_a592d46d.jpg,None,None,None,None,Positif,None,None
30,10/4/2025,1,R30_G1_22df9687.jpg,None,Netral,None,None,Positif,None,None
31,9/6/2025,1,R31_G1_fb19634c.jpg,Netral,Netral,None,None,None,None,None
