page,tanggal,teks_ulasan,sumber,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10
1,17-Apr-26,Interior ramah anak.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/04/17/167eb16e-65ad-401e-beb6-b8bf697937af-1776416929170-344fb48de34f89cf6cc7692409878313.jpg,,,,,,,,,
1,11 Maret 2026,"tempat yg nyaman,harga lumayan,makanan komplikasi pelayanan oke",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2026/03/11/8d7cd17d-4c5a-4abe-ba6b-3e34f52b1ba9-1773238172173-77e92396b0fc69e982e2be4e71ebbc24.jpg,,,,,,,,,
1,6-Nov-25,Area tenang. Menyediakan layanan antar-jemput. Kamar luas.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/8fac1942-281c-4363-84b8-d3bbf38e335e-1762416580045-b8bacc71ae26d416f9c6d16bf3f61621.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/f5b992ca-72d2-4266-bf7a-6022979fc70c-1762416580114-36f5fe1662fb20c88b4e487db021b516.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/8cd44d84-2306-41ac-a1f3-c4da0ff93c83-1762416580485-b9cd0ff52c8f260c76b102e7d9d7416c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/62455e80-5b96-4ff7-b25d-d75e1d50caab-1762416580113-4ac39a1746368cac0094d89addd27a27.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/eb84a7e2-647b-44d4-b07a-cdfd46427e52-1762416580491-21a3d381a4925882167d98f00b032230.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/c2c13296-7d46-4851-91b9-61d5171320f5-1762416580599-1eebb1a620de3e23122e3a56c0d5cd21.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201080gsm/images/2025/11/06/b783c474-c3c8-498f-a780-a2e8b41c7689-1762416581041-9ed1a6f01ff2a6124787b01d4a6e2e65.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/11/06/b674a0cc-73e5-4a86-afe5-ea449ddc1782-1762416580877-fbb770fd2c342346ca7aea120a91c504.jpg,,
1,2-Sep-25,"Hotel Santika Depok emang the best dari pelayananannya super duper layak bintang 5. makanan dan minumannya enak bgt, kamar bersih dan rapi , view nya keren bgt ketika sunrise. Kalau aku pulang ke indonesia saya akan balik kesini lagi, terimakasih buat staf staf yg sudah banyak membantu saya hari minggu pass cfd akses jln keluar di tutup tapi karena bantuan staf saya tidak telat ke wisma hijau. Mksih mas mas yg udah antar sampai kedepan kluar dari zona cfd an. Ini adalah pengalaman yg tidak bisa saya lupakan, terimakasih hotel Santika Depok . Kamsahamnida 시간이 있으면 담에 봐요!!!!! 호텔 산티카 데포크 최고⭐️⭐️⭐️⭐️⭐️안녕!!!!!!Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/caaeb5f9-0cfe-41c4-825c-7b4fedbbfc00-1756820897330-b5b49976bdbde27b04970e81c965f49d.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/a97c1548-97c2-4785-9430-732d1e75e652-1756820896400-5a3ea5d262bc40ed1a280b0332ebec00.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/f1c4f3db-09ab-481a-962c-d4ea53f7609e-1756820896301-326c447c3e2b8f9c3deccb97a0423dad.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/6bbc7f49-ebb4-4267-be41-905b46315151-1756820897040-8a57f531a85ef81e4304b014b1c36580.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/be4abb68-659c-4f10-8ed2-c16ee9de2eaf-1756820896287-b3c528cc23cda733a6878cdbc2f617f6.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/e427ad65-3dd9-4f1c-b0f8-a3b3da3dd125-1756820896883-febe77d753ca1d63cd51f088d80a3c58.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/18f766a2-a3c6-4d2e-adef-823b5d8344d5-1756820895120-c38fe421fff8788a9d99edcbd4da2c9c.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/09/02/a7667a42-fe49-4a6a-bf75-6bbe1cf5892c-1756820897274-fc6b24bd0fd4671534848df3cb57442c.jpeg,,
1,12 Agustus 2025,Pas ini buat trip bisnis. Dekat ke pusat keramaian.. Fasilitas cukup lengkap.,Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/08/12/c5e647ec-81ba-40a2-8be0-d2496dbd5078-1754958349567-47d9a533974dfa25dfc846d27df9bc85.jpg,,,,,,,,,
2,17 Juli 2025,"Bagus , bersih,ramah",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/07/17/f96db1b9-3889-459f-a2dc-61572864da34-1752768875591-21ba8c20e315165470906ed6fecf75b0.jpg,,,,,,,,,
2,30 Juni 2025,"baguss!! sarapannya enak kamarnya wangi dan bersih, pelayanannya juga ramah banget banget!!!🤩🤩",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/30/e0ab4d87-1b27-48b7-a9b9-6e517637b18d-1751296378201-d9bf6de8bff0a1a27bebfba65e259782.jpeg,,,,,,,,,
2,24 Juni 2025,"Friendly guest service staff dengan Layanan yang sangat baik, kamar bersih rapi, makanan enak, super baik dan petugas yang ramah",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/14fc5ed0-cfab-4a34-bba1-7ce544f7ac8e-1750734724223-843970219a95ead28ed6cb1421a6ab1d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/88ffdda7-917d-44d3-b4a7-7eeadf419d81-1750734724292-73f5c2d426c6d28ceba775b72d5419c8.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/caf4ca54-576c-49ac-ac0a-3483f11e1401-1750734724457-6042f23026fde0fb1e880e0ca821a783.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/cc223d7a-7b3d-4768-a244-f2562f400a2c-1750734721770-eea1861b184cb2cb770a466ce3698c41.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/8e3c0c5a-0818-428a-8757-6319ddb5e860-1750734721679-a8178c7ba7191dd01ed2f9a2435ffb4c.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/f30cc667-23f6-4bb1-943b-0771183c65b6-1750734724557-a96214febded2354e1fab3cafb47d5f0.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/24/464cb206-d818-414b-beab-fa52672d1b85-1750734724000-08c8ecc1dda2c8a9a2f176d083f1e497.jpg,,,
2,22 Juni 2025,"Selalu suka nginep Disini Tmptnya nyaman, akses mudah, lokasi strategis",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/22/6df8ebeb-4789-44e2-801c-fc7cfd7e444b-1750556036225-f764e91239604b018880d86bbacfbe24.jpeg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/22/888409a8-c3aa-4c04-94a6-7c268c4847e0-1750556037109-0cdc082e7c83aa7c7ab07ca033a8b3e2.jpeg,,,,,,,,
2,10 Juni 2025,"Sangat memuaskan , sudah kunjungan yang ke dua kali. Semua request di provide dengan sangat baik, sarapan bervariasi, kamar bersih, terima kasih hotel santika depok atas pelayanan yang sudah diberikan . Highly Recomended Hotel Affordable prices, beautiful views. Pleasant environment.Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/609e1c22-a7d9-4f0b-9393-a0019ba409bc-1749565914165-9ae8dd52249ebbea367e2755940efceb.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/e48f6c74-9c28-4a46-96ed-2829acefc506-1749565910464-50ef3eecdb31919f48d0cc1da5611147.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/c9f27aa9-a59a-4fbc-82d5-f50264c6b9ca-1749565909984-e3bb5af2375c81c5039f7fb6bad5be4d.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/09c2efb6-ac94-4bde-8243-6e02c863ae08-1749565541910-2c6749e820ed26d354405735c359078e.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/9f601f03-1832-4e0d-88a8-d5acdc6c43d8-1749565904876-05894f689aa1556c72a7ac7a7bc740c8.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/43c450ca-12e0-489b-a56b-804c60f2147b-1749565916586-d8f15d4a9d8d7d923245c352c9812857.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/ed303460-68f8-47d4-8ee2-a0ac26634243-1749565912601-aa4b068ddc2f1d716391d1d70458cbee.jpg,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit10801920gsm/images/2025/06/10/05aa6ffc-6e94-4475-a3b8-7806514dd5a5-1749565911727-c0db06e6dfd29278dffd359fb75db722.jpg,,
