url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,1,"Kali ketiga menginap di sini. Pernah merasakan menginap di tahun 2019 masih clean & fresh. Sekarang dapat kamar yang bau rokok (padahal sudah request non smoking room), AC tidak dingin & tidak ada kulkas mini. Setelah menunggu 1,5 jam akhirnya dapat pindah kamar, tetapi tetap ada bau rokok, ada kulkas mini tapi tidak dingin sama sekali, tetapi untunglah AC-nya dingin. Kalau mau menginap di sini, usahakan dilap dulu pakai wet tissue karena memang kamarnya tidak terlalu bersih. Untuk sarapan standarlah sesuai harga. Kami juga pakai fasilitas gym-nya, bisa dipakai kecuali sepeda statis yang kami gak paham cara mengaktifkannya. Mau cari lunch/dinner bisa pesan antar dari resto di hotel atau bisa juga ke Livin Plaza tinggal menyeberang saja. Overall untuk hotel ini semua sesuai harga.",Diulas 5 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775573544595_9e2d67151dc13699?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,2,"Setelah perjalanan liburan di Jakarta, siap-siap kembali ke Bandung, tapi kok ingin mampir ke Cikarang sambil lihat suasana baru, akhirnya menginap di hotel Batiqa ternyata cukup menyenangkan, malam-malam mampir ke Living Plaza sambil ngopi. Pokoknya nanti mau balik lagi menginap di Batiqa Cikarang.",Diulas 6 minggu lalu,https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/aea9cb37-f3f3-41e9-bb11-f3faa7cf62dd.0000001.jpg,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774430041418_ffe6b5a94dfdc648?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,3,"Sebenarnya salah pilih hotel karena nggak ada fasilitas buat anak-anak. Tapi hotelnya nyaman buat istirahat, kamarnya bersih, makanannya enak, bapakku sampai nambah makan, biasanya nggak pernah nambah. Kalau bisa dikasih fasilitas buat anak, biar tambah seru menginapnya.",Diulas 7 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774240275109_387a4e5d99aebe04?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,4,Ini kali kedua saya menginap di sini untuk keperluan pekerjaan.,Diulas 9 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1772599284322_fc1398d045f88edf?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,5,"Lokasi, Pelayanan, Kamar, Harga semuanya luar biasa namun untuk menu sarapan masih kurang variatif baik itu dari segi jenis ataupun rasa, perlunya peningkatan variasi dan rasa.",Diulas 17 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767779715997_c6c4d55972e32e06?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,6,"Kelebihan: Kamar bersih, tema unik (batik), lokasi bagus, berhadapan dengan pusat perbelanjaan, sangat dekat dengan McDonald's, harga terjangkau.
Kekurangan: Wi-Fi lemah selama saya menginap, kadang-kadang hampir tidak ada Wi-Fi sama sekali. Kamar mandi dan toilet terpisah – ini bisa menjadi nilai tambah atau nilai minus, tergantung preferensi pribadi; pintu kamar mandi terbuat dari kaca, tidak kedap suara, yang agak memalukan saat menggunakan kamar mandi bersama orang lain.",Diulas 22 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1765217554472_c90798c8eddffbc8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,7,worth it bgt untuk staycation,Diulas 22 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764926200986_9895e00dfb2846d0?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,8,"1. Pelayanan cepat dan ramah, sempat komplain karena air panasnya kurang panas langsung ditindak. Dan gak lama sudah panas lagi.

2. Kamar keseluruhan bersih, desain interiornya juga bagus. Walaupun harganya terjangkau tapi desain interiornya niat banget. Fasilitas di dalam kamar juga banyak, ada safety box dan mini chiller. Untuk minumnya modelan refill gak di botol plastik. Jadi gak perlu khawatir kalau air minumnya kurang (ada dispenser di koridor kamar)

3. Fasilitasnya juga lumayan (cuma gak ada kolam renang aja). Tapi untuk gym ada dan nyaman. Kalau butuh meeting room juga banyak.

4. Pilihan menu sarapannya variatif dan rasanya enak.",Diulas 24 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_b576eb61bdc5f428?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_7869dd7ec1725561?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_9eecf1b70f4f170b?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_650d28f5cd644bd7?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_524711d0123e9a9a?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_9b5bdb8b9b55747d?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576508_e44ce7037638399a?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576508_42343aa5a6fe50af?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576510_bb46bd559745a15b?_src=imagekit&tr=c-at_max,h-80,q-40,w-80","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763958576509_d99b9914f130109c?_src=imagekit&tr=c-at_max,h-80,q-40,w-80",,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,9,"Pertama kali nginep disini. Lokasi strategis di seberang living plaza,sesuai aplikasi. Sarapan cukup bervariasi dan lumayan enak. Klw TVnya udah smart TV lebih OK lg hehe. Next mngkin nginep lg disini",Diulas 24 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_476a798c29a3faae?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_e8f312f806ff3b67?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_10d7dd2326372358?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_8b09ac661ec98d86?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_90c0943072d01134?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1763878179328_dddfeb5a455dd6d4?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,10,Best Jadi pilihan tempat menginap kalau dekat cikarang,Diulas 40 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1754104466550_0fffddd37e7ba0f4?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1754104466551_e62fac2e2c93b18b?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000497759,1,11,"Ini adalah kunjungan yang ketiga kalinya...
Membawa keluarga besar komplit
Kekurangannya dari segi sarapan saja kok refillnya lama yaa.. Jadi bolak balik liat, kalo udah direfill baru deh ngambil makanan..
Tlg diperbaiki yaaa sistem refillnya, cheffnya bisa sering mobile... 

Overall masi jadi hotel ksukaan..
Sukses trs tuk Batiqa Hotel",Diulas 41 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1753614247775_18f65098d8a9d7e2?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
