url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,1,Check-in saat Lebaran (musim ramai) tapi sangat menyenangkan. Stafnya sangat ramah dan membantu. Tidak terlalu luas tapi semuanya nyaman. Staf selalu menawarkan untuk mengantarkan sarapan ke kamar saya karena saya bangun siang. Keramahtamahan yang sangat baik. Keluarga saya mendapatkan pengalaman yang sangat menyenangkan menginap di hotel ini. Teruslah berprestasi!,Diulas 6 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774663638863_bd92b7859cc378c7?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774663638863_d45d5f160e59d21c?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,2,Nyaman sekali dan staff-nya ramah,Diulas 9 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1772844335205_7a275977bc9ead2e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,3,Shower air panasnya tolong diperbaiki karena ga stabil. Kalau pagi ga panas. mungkin ketarik kamar lain.,Diulas 14 minggu lalu,https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/b0998170-f623-4ac6-8a89-203dad2e5bb4.0000001.jpg,,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,4,"Judul Review: Juara Hemat di Tengah Kota! Definisi ""Value for Money"" Sesungguhnya
​⭐⭐⭐⭐⭐
​Baru saja menginap di Sparks Odeon Sukabumi dan jujur saya sangat terkesan. Kalau Anda mencari hotel yang ramah di kantong tapi fasilitasnya tidak murahan, ini adalah pilihan terbaik di Sukabumi.
​Berikut detail pengalaman saya:
​1. Tarif yang Sangat Terjangkau (Juara!) 💰
Ini poin utama yang membuat saya happy. Harganya sangat kompetitif dan murah untuk ukuran hotel modern seperti ini. Dengan tarif yang ditawarkan, saya tidak menyangka akan mendapatkan fasilitas yang begitu layak. Benar-benar best deal buat backpacker, pelancong bisnis, atau keluarga yang mau staycation hemat tanpa bikin dompet jebol. Sangat worth every penny!
​2. Lokasi Strategis & Dekat Stasiun 📍
Lokasinya sangat premium! Cuma butuh jalan kaki sebentar dari Stasiun Kereta Api Sukabumi. Buat yang datang naik kereta Pangrango, ini hotel paling praktis. Mau cari makan juga gampang banget, di sekitar hotel banyak kuliner kaki lima sampai resto enak. Poin plus banget buat aksesibilitasnya.
​3. Kamar Bersih & Modern 🛏️
Meskipun harganya miring, kamarnya tidak terkesan tua atau kotor. Desainnya minimalis modern.
​Kasurnya empuk dan spreinya bersih.
​AC dingin dan berfungsi baik.
​Air panas di kamar mandi lancar dan stabil (ini penting banget di udara Sukabumi yang sejuk).
​Amenities dasar tersedia lengkap.
​4. Pelayanan Ramah 🤝
Staf dari resepsionis sampai security sangat membantu dan sopan. Proses check-in dan check-out berjalan cepat tanpa ribet. Pelayanan seperti ini yang bikin tamu merasa dihargai.",Diulas 16 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768707948907_ef78e3dcd7576b0b?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768707948907_2357fb331ebaaf2d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,5,Staff ramah dan proses check-in cepat. Kamarnya bersih dan sangat rapi. Lokasi hotel sangat strategis di kota dan dekat dengan stasiun kereta api. Sarapannya enak dan variasinya banyak.,Diulas 38 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1755520101580_a5c4ce309469eff7?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,6,"Pengalaman menginap terbaik, tidak pernah mengecewakan. Selalu jadi tempat favorit di Kota Sukabumi. Pelayanan ramah, kamarnya juga nyaman. Tempatnya strategis di dekat Stasiun Sukabumi.",Diulas 40 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1754200698778_b66c6f89ff4da39f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,7,"Tidak pernah kecewa kalo nginep di hotel ini. kamar nyaman, bersih. staff ramah. dan lokasi sangat strategis dekat dengan stasiun sukabumi",Diulas 48 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/210399169_REVIEW_1749030693953_a8544c51ac3b723d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,8,"staff sangat ramah, kamarnya bersih dan nyaman. letak hotel di pusat kota dekat dengan stasiun sukabumi",Diulas 49 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/210399169_REVIEW_1748441071051_b3fde1f38b4a527a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,9,"Staff sangat ramah, pelayanan memuaskan. kamar sangat worth it dengan harga murah dan kualitas kamar sangat baik. good experience",Diulas 50 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/210399169_REVIEW_1748338790528_2261c5595542985e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010026222,1,10,"Lokasi yang cukup strategis. Cukup nyaman untuk lingkungan sekitar hotel dan bangunan cukup baru. Ukuran jendela kamar yang besar sehingga bisa meng-captured pemandangan di luar. Lift yang spacious dan welcome drink berupa orange juice yang enak. Saran saja untuk satpam/tukang parkir yang tampaknya kurang begitu terlihat di area parkiran agar bisa lebih sering muncul, ya. Terima kasih.",Diulas 52 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/19401504_REVIEW_1747142646591_62cab0e115810e28?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
