url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,1,"Pas mendung view sunrise-nya hehe. Sudah sesuai standar untuk semuanya sudah oke sih, semisal ukuran kamar kecil tidak masalah karena sudah ada infonya, don't expect more. Jarak agak jauh dari pintu tol. Anak 6 tahun extra 40rb untuk breakfast, makanan-makanan yang dipesan ke kamar enak-enak saja dan enggak terlalu mahal. Staff-nya cukup teliti saat check out dan cek barang yang tertinggal di kamar. Terima kasih.",Diulas 4 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775697600423_5c4551cc77a3c2a4?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,2,"Nyaman, aku suka ruangannya enggak terlalu pakai lampu terang jadi tidur lebih nyenyak tanpa mematikan lampu, staff sangat ramah dan banyak membantu, makanannya juga enakk diantar untuk sahur sekalian bangunin 🤍",Diulas 10 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1772468181334_d3c849987d360c33?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,3,"Sangat puas menginap di Hotel Neo Cirebon! Hotel ini menjadi pilihan favorit setiap kali berkunjung ke Cirebon karena lokasinya yang sangat strategis dan pelayanannya yang memuaskan. Poin plus yang membuat hotel ini layak dikunjungi: Lokasi Sangat Strategis: Lokasinya sangat dekat dengan Stasiun Cirebon (Kejaksan), cukup jalan kaki sebentar atau berkendara 3 menit. Cari kuliner khas Cirebon seperti Empal Gentong juga tidak sulit di sekitar sini. Desain Kamar Modern & Unik: Saya suka dengan konsep desainnya yang modern dan didominasi warna hitam-putih yang elegan. Kamarnya selalu bersih, kedap suara cukup baik, dan tempat tidurnya sangat nyaman. Pemandangan Bagus: Jika beruntung mendapatkan kamar di lantai tinggi, Anda bisa melihat pemandangan kota atau bahkan laut dari kejauhan. Sangat menenangkan! Sarapan Lezat: Pilihan menu sarapannya cukup beragam untuk hotel bintang 3, mulai dari hidangan tradisional hingga internasional. Kopi dan tehnya juga enak. Staf Ramah: Proses check-in dan check-out sangat efisien. Semua staf, mulai dari resepsionis hingga housekeeping, sangat sopan dan sigap membantu. Hotel ini sangat cocok bagi pelancong bisnis maupun keluarga yang mencari kenyamanan dengan harga yang tetap terjangkau (value for money). Pasti akan kembali lagi!",Diulas 12 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1771049337352_59d5c03dbc4fd7e5?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,4,"Suka banget! Luas dan view Gunung Ciremainya kelihatan. Dapat di kamar ujung, best banget.",Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770367734296_b88c7d53c18e951f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770367734296_dc739f60e44be5d8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,5,Terima kasih atas pelayanannya 😊🙏🏻,Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770191191897_d890d2a6360e6e46?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,6,Terima kasih atas pelayanannya. Rekomendasi Hotel 😊👍🏻,Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770190781035_89e7b3e047f55f8c?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,7,Nyaman & Hepi Bistrip Cirebon menginap disini,Diulas 20 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766307112022_5c90bfe50dde71ba?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,8,"Terima kasih atas kerja kerasnya maka hotelnya nyaman. Walaupun saat saya menginap tv cablenya sempat ada kendala, tapi penanganan staffnya cepat sekali.",Diulas 22 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764730865017_32cb92dd731817af?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764730876773_7bb3df5d65ec94fb?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,9,"Staff ramah
AC dingin
kebersihan baik",Diulas 23 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764322120095_7bcc4218d5ed1a75?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/1000000530525,1,10,fasilitas kamar bagus dan pilihan sarapan yang variatif.👍,Diulas 25 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1762858524534_4cc5d11668c3836a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
