url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,1,"Hotelnya bersih, nyaman, tempat tidur empuk",Diulas 2 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1777095890338_57fcfd1b863d8c60?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,2,"Menginap di hotel ini sangat nyaman dengan pelayanan yang ramah dan profesional. Fasilitas lengkap, kamar bersih, makanan enak dan lokasi strategis karena dekat dengan mal. Cocok untuk liburan dan kebetulan saya dapat kamar di ujung dengan view yang bagus pagi dan malam harinya.",Diulas 5 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1775038551249_cf1d123be31173b3?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,3,"Pengalaman menginap di Hotel Santika Depok sangat menyenangkan dari awal sampai akhir. Proses check-in berjalan cepat dan mudah, staf di front office sangat ramah serta membantu. Pelayanan yang diberikan terasa hangat sehingga tamu merasa langsung disambut dengan baik sejak datang. Selama menginap, para pegawai hotel juga sangat sopan dan responsif. Jika membutuhkan bantuan, mereka selalu siap membantu dengan senyum dan sikap yang profesional. Hal ini membuat suasana menginap terasa nyaman dan menyenangkan. Salah satu hal yang sangat menyenangkan adalah fasilitas sarapannya. Menu breakfast cukup beragam dan rasanya enak. Yang lebih menyenangkan lagi, anak-anak mendapatkan fasilitas sarapan gratis sehingga sangat membantu bagi tamu yang datang bersama keluarga. Selain itu, hotel juga menyediakan fasilitas parkir gratis yang cukup memudahkan bagi tamu yang membawa kendaraan pribadi. Lokasinya yang strategis di Depok juga menjadi nilai tambah karena dekat dengan berbagai tempat. Secara keseluruhan, Hotel Santika Depok memberikan pengalaman menginap yang nyaman dengan pelayanan yang ramah, fasilitas yang baik, serta suasana yang menyenangkan. Sangat direkomendasikan untuk perjalanan keluarga maupun perjalanan bisnis.",Diulas 7 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774254895569_35b8a7adbdf666c3?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774254895569_588fe65e69f377e0?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,4,Hotel terbaik yang direkomendasikan di Depok.,Diulas 9 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1773099573559_169ff318aaf67f30?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1773099573559_3cd793cd9e38d3e6?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1773099573559_6ab2d00007e4ad96?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1773099573558_53dbf1c7f24e6332?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,5,"Hotel ini berlokasi strategis dan terintegrasi dengan pusat perbelanjaan. Saya meminta kamar dekat lift, dan pemandangan kota dari lantai 26 sangat menakjubkan. Semua menu enak, terutama puding roti, dan anak-anak di bawah usia 9 tahun dapat menikmati sarapan gratis.",Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847138_69c11200aa3e5afd?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847137_e3cd10034f0431a0?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847137_d7ade14a0baba05b?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847137_a5094601dcad8b1f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847137_26230af44b181e5b?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770531847136_32a01ad0dabc6ed8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,6,"padahal hampir tiap bulan kami menginap disni.
dan kami pun telah menjadi customer setia Santika Group,kami member my value.
baru kali ini merasakan kecewa santika depok.
alabgkah kaget nya saya saat mau chekx out,melihat box tisue cuma selembar pantesan saat mau malam nya saya minta tisue tambahan.
medit bgt sama tisue padahal sekelas santika group loh inih.
semoga ke depan hal ini tidak terjadi kembali.",Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770371850938_d1fcb20c3344074e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,7,"kami akhirnya jadi extend,nambah hari.
jadinya 3 hari 2 malam menginap santika depok.
saya akhirnya dapat delux yang queen bed karena saya pesen dan beli dihari berikutnya yg  delux queen bed.
proses reservasi extend nya sangat smooth sekali.
trm ksh sekali mba alivia telah kirimkan belboy dan troley untuk membantu kami pindah kamar.
good job mba alivia,mhn kiranya management santika depok bs memberikan apresiasi kepada beliau karena telah menyambut tamu dengan hangat dan baik.
kali ini kami dapat kamar 2707.
seperti biasa makanan2 nya enak.
dikamar delux juga frezer(kulkas) nya juga dingin,ac nya apalagi dingin,nyaman.
many thx santika depok
many thx",Diulas 15 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769349781748_3c3c9c6a5e801ce8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769349781748_96fce078a355df0c?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,8,"Kali ini pesan deluxe, namun yang queen bed kehabisan, jadilah kami dapat deluxe yang twin bed di kamar 2717.
Alhamdulillah, many thanks Mbak Alivia dan teman-teman FO juga house keeping-nya ramah-ramah.
Sarapan-nya enak, kali ini cobain western food: salad & potato wedges-nya enak, the best, saya suka.
Many thanks Santika Depok. Many thanks",Diulas 15 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769237237459_12669d16a10a5281?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769237237459_30e961c298e35f44?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1769237272412_7c4c412544f24080?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,9,"mantap memang pelayanan nya n enak makanannya.
many thx santika depok.",Diulas 16 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768786349836_f37ae9c5d70124e8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768786349836_d07260e2e3669166?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/535726,1,10,"trm ksh sekali request untuk saya kasih surprise saya ultah dikabulkan team fo santika depok trm ksh byk khususnya untuk mba stella dan mba alivia.
alhmdlh ga salah saya hampir tiap bln ksni.
Hotel Santika Drpok Recomanded.",Diulas 16 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768785498306_f7efbb447253067a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768785498306_d2f799a4a03eb7b3?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768785498306_8f3b839538e608cf?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768785498306_25f41eab0002111c?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768785498305_51a039394e620199?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,
