url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,1,Selalu menyenangkan menginap di sini,Diulas 5 hari lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1777881082910_d3c721e9bd64e437?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,2,"Menginap di Surya Kencana Seaside Hotel memberikan pengalaman yang menyenangkan, terutama bagi pecinta suasana pantai. Dari kamar, tamu bisa langsung menikmati pemandangan laut yang luas dan suara ombak yang menenangkan. Lokasinya strategis, dekat dengan pantai sehingga cocok untuk bersantai atau sekadar menikmati sunset. Fasilitasnya cukup memadai dengan kamar yang bersih dan nyaman. Pelayanannya juga ramah, membuat suasana menginap terasa lebih hangat. Cocok untuk liburan santai bersama keluarga atau pasangan yang ingin melepas penat dari rutinitas.",Diulas 2 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776919725362_e218db408e0abadf?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776919725362_b8a0c02ff27fd33d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1776919725361_deec289954b97e23?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,3,"Saya menginap 1 malam di Suryakencana, pas siangnya, dari jam 10 siang AC kamar, stop kontak sudah tidak bisa digunakan dengan alasan ada pemadaman AC serentak. Maaf hanya sebagai saran, kalau mau membetulkan AC dan fasilitas lain, lebih baik saat tamu sudah check out, karena jujur, itu sangat mengganggu. Udara di Pangandaran tanggal 30 lumayan panas banget, ditambah AC dan stop kontak tidak nyala, serasa diusir secara halus, padahal bayar lumayan mahal untuk kamar tipe junior. Untuk staf front office nilainya 10/10, baik banget... Untuk makanan, kurang variatif. Semoga bisa lebih ditingkatkan lagi pelayanannya.",Diulas 6 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774942591237_0e3ed2a54664fcc0?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,4,"Hotel terdebest menurutku. Aku sering ganti-ganti hotel di Pangandaran, tapi paling nyaman di sini. Kamarnya baru semua, nyaman, bersih. Lingkungan hotel bersih terawat. Kolam renang bersih. Satpam-nya baik dan ramah. Karyawan ramah. Pokoknya sangat sangat recommended. Gabisa kelain hati, next nginep di sini lagi.",Diulas 7 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774067710717_eb3c217280271e0f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774067710716_92eddb21e6a588ac?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,5,"Top pokoknya nginep di sini, apalagi kamarnya luas menghadap pantai, kolam renangnya airnya jernih, suasananya nyaman.",Diulas 10 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1772364445713_0d2914d3e881731d?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,6,"Kamarnya luas, bersih, kolam renangnya airnya jernih, suasananya enak, apalagi nanti kalau renovasinya sudah selesai, makin mantap.",Diulas 10 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1772364279096_a6cc35bfb2eb6ab4?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,7,Entah ke berapa kali menginap di sini karena kamarnya pas banget terutama ukurannya cocok untuk keluarga dan fasilitasnya relatif lengkap. Selain itu akses ke manapun mudah. stafnya makin ke sini makin ramah. Keramahan staf adalah standar utama untuk memilih hotel.,Diulas 16 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768724740393_22f1a1a80652f2de?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1768724740392_2c1fb97c7dc1929b?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,8,"staff hotelnya sangat ramah, dan pelayannya sangat baik",Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766906124252_13f8fb690de02206?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,9,"nyaman sekali, akses kemana saja sangan terjangkau, dan pelayannya baik sekali",Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766906007303_3c400412bfa42675?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007143,1,10,"nyaman banget, kamarnya luas bersih, kolam renangnya besar airnya bersih view sekitar kolam bagus, petugas dari mulai security ramah ramah. recomended pokoknya, nextbakal nginep disana lagi",Diulas 21 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1765696394306_c4913803e3bd112e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1765696394305_244dfbb19d01d38f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
