url,page,review_index,teks_ulasan,tanggal,gambar-1,gambar-2,gambar-3,gambar-4,gambar-5,gambar-6,gambar-7,gambar-8,gambar-9,gambar-10,gambar-11,gambar-12,gambar-13,gambar-14,gambar-15,gambar-16,gambar-17,gambar-18,gambar-19,gambar-20
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,1,"Bagus dan nyaman, cuma TV belum smart TV saja",Diulas 6 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1774861006080_4cad523adf3263c6?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,2,Makanan lebih enak lagi dan variasi,Diulas 10 minggu lalu,https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/1e7e559a-8bc8-4eb2-aa5c-e79b134454f7.0000001.jpg,,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,3,"Kafe rooftop-nya cantik. Namun sayang dapat kamar tanpa jendela dan tidak ada keterangan di pemesanannya, tetapi dekat sekali ke kolam renang. Sejauh ini lumayan puas menginap di Fresh Hotel.",Diulas 11 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1771376024152_487f215effec65ab?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1771376024152_92d2aa45c57bc387?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/031359d2-c916-491d-88a3-6ef9b94af1f5.0000001.jpg,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,4,"AC kamar engga dingin, kunci pintu copot sebelah, water heater tidak terasa air hangatnya",Diulas 13 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1770620664667_e4f7ecb535c83eac?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,5,hotel bersih dan rapih. resepsionis ramah. admin whatsapp sangat membantu. parkir sedikit terbatas. ada lift di basement parkir. untum rooftop oke,Diulas 17 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767745179844_ea82e1071298e477?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",https://d24fi85k5ai89e.cloudfront.net/REVIEW_VIDEO/THUMBNAIL/9b65256a-cad7-4819-9a8f-0e406f916230.0000001.jpg,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,6,"staff hotel ramah, lokasi strategis, view sunset dari rooftop nya bagus banget",Diulas 18 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767503978909_e2876898c5d76391?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767503978909_21f603ea44a87e45?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767503978909_8b2e0318757898b3?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767504133949_60bd99851ec72a8f?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,7,"Lokasi strategis, dapat kemana-mana dengan mudah, pelayanan ramah, cepat",Diulas 18 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767407858368_da7345aa1b74ba2e?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,8,"Very not recommended!!! 
Kamar mandi: bau banget, kotor. Closet duduk gak nyaman, tutup closet gak bs diberdiriin. Harus dipegangin kalau ingin menggunakan. Sabun mandi habis, handuk kotor, ada bercak noda. Paling komplain sama kamar mandi, tapi sayang saya gak foto. 
Tempat tidur: sudah lapuk, banyak lapisan mengelupas, begitu pula dengan nakas. Seprai dan selimut warnanya sudah putih gading. Dipinggir kanan kasur banyak debu. 
Parkir: kecil, ada lahan parkir sebelah hotel. 
Masuk dari lobby utama gak ada ramp/conveyor, bawa koper atau stroller harus diangkat naik tangga.",Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767088665978_1ff4ec17e9bfaeb9?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1767088665977_c896d757484214d8?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,9,"Saya late checkn in, diinfokan kalo kamar sudah full, jadi hanya tersedia yg deluxe twin (requestnya yang double) 

Hotelnya tidak terlalu besar, simpel, nyaman, bersih, staffnya juga ramah banget, menjelaskan dengan detail dan sabar. Oia ada deposit untuk kunci juga sebesar Rp. 50.000

Tersedia kolam renang, free sepeda, request ke resepsionis mau dipake jam berapa, air bisa refill di galon setiap lantai. Tersedia hot water jg di kamar dan tv.

Saya diperbolehkan late check out jg 30 menit karena kami kejebak hujan di jalan. 

Kekurangannya, disalah satu kasur kami, dipannya bunyi, dan agak ganggu, berisik, udah lapor utk diperbaiki, dan kami tinggal keluar. Ternyata blm diperbaiki juga. Akhirnya teknisi datang hampir jam 11 malam. Waktunya kami sudah istirahat, 

Kamar mandinya karena tidak ada pembatasan, jadinya lantai basah dan licin, entah kenapa, kamar mandinya agak bau pas saya tiba (mungkin perlu ada opsi pewangi kamar mandi), exhaust fannya berisik banget ketika nyala, jadi ganggu sampe kamar. TV nya sprtnya baru, jadi beli di set up sempurna, kita harus set up dr awal. Akhirnya memilih ga nonton tv.",Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766961043187_32ac9fdcb6f1aadf?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,10,Staff-nya ramah... Tempat-nya juga strategis dari hotel... Jogging menuju alun-alun dan Gedung Sate hanya berjarak 1 km... Tempat makan juga banyak... Tepat di depan hotel juga ada... Recommended👍,Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766732708695_dfb5becbca0d98c4?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,11,davin di bagian resepsionis dgn pelayanan cekatan dan ramah...sehingga kita tidak begitu lama menunggu proses chek in,Diulas 19 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1766635884348_5aedb34e0ef13225?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,,
https://www.traveloka.com/id-id/user/review/consumption/HOTEL/GENERAL/3000010007463,1,12,"kamarnya bersih bgt, kesini pas ujan dan gak nginep cuma buat stay bentar doang karna nunggu kereta pulang ke stasiun cisaat juga gak begitu jauh paling 15 menitan, mau nginep disini next kalo perjalanan ke wilayah sukabumi lg🥰",Diulas 22 minggu lalu,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764998315024_4252b7923a1e92f2?_src=imagekit&tr=c-at_max,h-100,q-40,w-100","https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/ugc-photo-ap-southeast-1-581603780057-acd24e232f75f09e/REVIEW/REVIEW_1764998315023_c2730a0a5944531a?_src=imagekit&tr=c-at_max,h-100,q-40,w-100",,,,,,,,,,,,,,,,,,
