ID_Review,Platform,Wilayah,Nama_Hotel,Review_Date,Text_Review,label_Kamar,label_Kebersihan,label_Pelayanan,label_Harga,label_Lokasi,label_Fasilitas,label_Makanan,error
1,Traveloka,Bandung,Atlantic City Hotel,5/4/2026,"Pesan mendadak hotel di daerah Kota Bandung saat long weekend dan pada penuh, untungnya masih ada kamar tersedia di Hotel Atlantic City. Penyelamat buat istirahat, lokasi strategis, kamarnya lumayan nyaman dan langsung pemandangan kota, ada aktivitas anak-anak buat main sejenak, rooftop-nya enak angin sepoi-sepoi dan dapat minuman sambutan di lantai 7, walaupun buat parkirannya enggak banyak dan enggak ada kolam renangnya. Tapi secara keseluruhan enak 🫶🏻💕",Positif,Positif,Positif,None,Positif,Negatif,Netral,
2,Traveloka,Bandung,Atlantic City Hotel,4/18/2026,"Menyenangkan menginap di Hotel Atlantic. Hotel berada di lokasi strategis dekat dengan Istana Plaza, halte transportasi umum, tempat kulineran, dan akses pejalan kaki yang memadai. Setibanya di Stasiun Bandung, saya berjalan kaki ke Hotel Atlantic kurang lebih 1 km, sambil menikmati sore hari kota Bandung dan padatnya lalu lintas sore itu. Sesampainya di hotel, saya langsung check-in menggunakan KTP dan meninggalkan deposit Rp50.000. Proses check-in mudah dan cepat. Pelayanan baik. Saya mendapatkan kamar di lantai 5 kamar bebas rokok, walaupun kamar saya berada di lantai 5 namun suara dari jalan raya masih terdengar sangat jelas. Berarti kamar ini menurut saya kurang kedap suara. Hotel ini kurang cocok bagi Anda yang membutuhkan tempat istirahat yang tenang. Kamarnya sejuk walaupun tanpa AC. Semua fasilitas kamar berfungsi dengan baik mulai dari AC, debit air kencang, air panas untuk mandi, perlengkapan mandi. Untuk kamar bersih dan luas, sesuai dengan deskripsi. Channel TV banyak namun gambarnya kurang jelas. Saya memesan kamar include dengan sarapan, menu sarapan standar (nasi, sayur, lauk pauk, buah, bubur, sereal, roti, dan beberapa minuman dingin dan hangat). Untuk rasa makanan standar hotel.",Positif,Positif,Positif,None,Positif,Negatif,Netral,
3,Traveloka,Bandung,Atlantic City Hotel,4/4/2026,"Mantap, oke, dekat dengan semuanya, di lantai bawah ada KFC, Richess 24 jam, semuanya di depan mal, mantap.",None,None,None,None,Positif,None,None,
4,Traveloka,Bandung,Atlantic City Hotel,4/4/2026,"staf sangat ramah dan sangat membantu. Walaupun di hotel tidak disediakan setrika, tapi pihak hotel mau membantu mencarikan laundry terdekat yang bisa antar jemput.",None,None,Positif,None,None,Netral,None,
5,Traveloka,Bandung,Atlantic City Hotel,3/28/2026,"staf hotel ramah-ramah semua, proses cek in dan cek out mudah dan cepat. Kamar nyaman, pemandangan di lt 6 bagus 😍 terima kasih s Atlantic City Hotel ❤️",Positif,None,Positif,None,None,None,None,
6,Traveloka,Bandung,Atlantic City Hotel,3/21/2026,"Staf hotel ramah. Lokasi sebelum KFC, menyeberang ada McD di Istana Plaza. Banyak restoran dekat hotel. Kamar luas. Harga murah. Sudah berkali-kali menginap di sini.",Positif,None,Positif,Positif,Positif,None,None,
7,Traveloka,Bandung,Atlantic City Hotel,1/24/2026,"staf ramah, harga murah tapi ga murahan 👍",None,None,Positif,Positif,None,None,None,
8,Traveloka,Bandung,Atlantic City Hotel,1/24/2026,Pengalaman liburan yang menyenangkan.... semua nya bagus dan menyenangkan.,None,None,None,None,None,None,None,
9,Traveloka,Bandung,Atlantic City Hotel,1/17/2026,"Saya pesan kamar dengan kamar bebas rokok. Lalu ketika baru check-in masuk kamar, ruangan sudah bau rokok, terutama kamar mandi pengap bau rokok banget. Ini tentunya sangat mengganggu kenyamanan. Sudah coba hubungi pihak resepsionis, responnya “Oh ya, mungkin itu dari Exhaust Fan-nya ya Kak, nanti kita coba bantu kirim orang untuk bereskan.” Lalu, enggak lama datang orang dengan bawa pewangi ruangan (Stella) untuk disemprot dan sudah itu saja tindakannya. Apakah bau rokoknya hilang? Tentu tidak, dong. Bau banget ges kaya naik angkot Stella jeruk",None,Negatif,Positif,None,None,None,None,
10,Traveloka,Bandung,Atlantic City Hotel,1/17/2026,"Diizinkan check-in sebelum jam 12 siang mungkin karena kami dari luar kota, semua staf ramah dan mendapat hadiah voucher makan malam Natal, terima kasih.",None,None,Positif,None,None,None,None,
11,Traveloka,Bandung,Atlantic City Hotel,1/10/2026,"terletak di Kota Bandung, sebrangan sama Living Plaza dan ga jauh dari mal 23 Paskal. tempatnya strategis, mau cari makan banyak dan dekat.
ada Live music di lantai 7, setiap Jumat dan Sabtu jam 19.30-22.00.
Hotelnya bersih dan stafnya membantu banget.",None,Positif,Positif,None,Positif,None,None,
12,Traveloka,Bandung,Atlantic City Hotel,1/10/2026,"Puas menginap disini enak nyaman bersih, staf pada ramah, lokasi strategis apa2 gampang bisa lebih mantap lagi kalau kamar kedap suara soalnya posisi hotel di simpang lampu traffic jadi kadang berisik. secara keseluruhan pengalaman menginap bagus dan sepadan dengan harga.",Negatif,Positif,Positif,Positif,Positif,None,None,
13,Traveloka,Bandung,Atlantic City Hotel,1/10/2026,rekomen banget buat keluarga yang mau bermain di kota bandung,None,None,None,None,None,None,None,
14,Traveloka,Bandung,Atlantic City Hotel,1/3/2026,stafnya ramah dan kamarnya bersih,None,Positif,Positif,None,None,None,None,
15,Traveloka,Bandung,Atlantic City Hotel,12/27/2025,"Pelayanan baik, staf hotel ramah, kamar bersih",None,Positif,Positif,None,None,None,None,
16,Traveloka,Bandung,Atlantic City Hotel,12/27/2025,sy dtg sebelum jam 12 lgs check in dan dibolehkan utk lgs masuk ke kamar sehingga kami yg lelah dr luar kota bs lgs istiraht biasanya hotel lain tdk bisa hrs lewat dr jam1 siang.staf pelayanan semua ramah2 dan sy memdpatkan gift voucer berupa chrismast dinner utk dua org terima kasih.,None,None,Positif,None,None,None,None,
17,Traveloka,Bandung,Atlantic City Hotel,12/20/2025,"Harga terjangkau, layanan baik untuk akses ke lantai atas menggunakan lift harus menggunakan kartu kamar, luas kamar standar g sempit, AC kamar kurang kerasa jadi g dingin kamarnya, untuk saya yang g suka pengharum ruamgan dan kamar mandi wangi jeruk jadi agak gimana gitu ya nyiumnya mual, minusnya kalau mau wudhu aja sih g ada keran biasa jadi harus buka pancuran berpotensi basah kena baju, tempat strategis pas kalau laper bisa grabfood biar satset, pemandangan roftoop nya juga lumayan bagus pemandangan kota, untuk sarapan baik, untuk deposit kemarin itu di aplikasi g ada tapi pas di sana deposit 50k, pokonya cykyp memuaskan untuk saya yang punya waktu sebentar di bandung, terima kasih🙏🏻😇",Negatif,Negatif,Positif,Netral,Positif,Positif,Positif,
18,Traveloka,Bandung,Atlantic City Hotel,12/20/2025,"1.Kamar, dan kamar mandi sempit banget 2.Parkiran gamuat banyak mobil +
Sarung bantal dan sprenya itu sudah kumal banget gak layak dipake lagi, jadi ragu apa diganti atau gak saat cek in kamar: 2,5/5 | pelayanan: 4/5 | Location: 5/5",Negatif,Negatif,Positif,None,Positif,Negatif,None,
19,Traveloka,Bandung,Atlantic City Hotel,12/6/2025,Menyenangkan dan menarik sesuai anggaran. Makanan lezat.,None,None,None,None,None,None,Positif,
20,Traveloka,Bandung,Atlantic City Hotel,12/6/2025,"Lokasinya sih juara dekat kemana-mana meski berada di simpang 4, cuma parkir terbatas namun petugas keamanan selalu siap sedia",None,None,Positif,None,Positif,Negatif,None,
21,Traveloka,Bandung,Atlantic City Hotel,11/22/2025,"proses check-in cepat, kamar nyaman dan tidak berisik, di samping ada mal, dekat dengan stasiun Bandung. kalau ke Bandung, ingin balik nginep disini lagi.",Positif,None,Positif,None,Positif,None,None,
22,Traveloka,Bandung,Atlantic City Hotel,11/8/2025,tempatnya strategy dan mudah di akses kemana mana dan dekat dengan pusat perbelanjaan mal paskal dan makanan buka 24 jam,None,None,None,None,Positif,None,None,
23,Traveloka,Bandung,Atlantic City Hotel,11/8/2025,baguss banget gaiss kalian hars cobain mantappl pokonya,None,None,None,None,None,None,None,
24,Traveloka,Bandung,Atlantic City Hotel,11/1/2025,selalu langganan di Atlantic city 1 tahun lebih selalu langganan nginep disini kalau di bdg,None,None,None,None,None,None,None,
25,Traveloka,Bandung,Atlantic City Hotel,10/25/2025,"lokasi sangat strategis cuma karena ini jalan satu arah jadi klo kelewat atau kalo kita pakai kendaraan umum memnag harus memutar jauh,aminitis lengkap,sayang air dari showernya kecil dan cuma naget kuku,showernya juga yang tipe satu,staf ramah cek in dan out cepat ga sampe 5 menit,pernah kesini tapi udah lama sekali sekarang baru sempatmampir kesini lagi",Negatif,None,Positif,None,Positif,Positif,None,
26,Traveloka,Bandung,Atlantic City Hotel,10/18/2025,FO yg jaga tgl 16 oktober malem sikap buruk. Selebihnya oke banget.,None,None,Negatif,None,None,None,None,
27,Traveloka,Bandung,Atlantic City Hotel,10/11/2025,"secara keseluruhan pelayanan bagus dan nyaman hotelnya, masuk sebelum jam check in kamar lsg tersedia lokasi strategis, cuma kurang menu sarapan aja yg kurang variatif",None,None,Positif,None,Positif,None,Negatif,
28,Traveloka,Bandung,Atlantic City Hotel,10/11/2025,"3 hari menginap di sini super nyaman, lokasinya strategis.",None,None,None,None,Positif,None,None,
29,Traveloka,Bandung,Atlantic City Hotel,10/11/2025,staf hotel-nya sangat ramah dan sangat membantu,None,None,Positif,None,None,None,None,
30,Traveloka,Bandung,Atlantic City Hotel,10/4/2025,Pengalaman yang menyenangkan. Dekat kota dan banyak pilihan makanan.,None,None,None,None,Positif,None,None,
31,Traveloka,Bandung,Atlantic City Hotel,9/6/2025,ramah karyawannya dan cocok untuk yang mau deket pusat kota,None,None,Positif,None,Positif,None,None,
32,Traveloka,Bandung,Atlantic City Hotel,9/6/2025,Staf hotel ramah dan lokasi strategis,None,None,Positif,None,Positif,None,None,
33,Traveloka,Bandung,Atlantic City Hotel,8/30/2025,"Kamar nyaman dan bersih, sarapan enak, dekat kfc ama mcd jga. pemandangan kamar juga langsug ke living mal bndung",Positif,Positif,None,None,Positif,None,Positif,
34,Traveloka,Bandung,Atlantic City Hotel,8/2/2025,"Lokasi hotel lumayan strategis, stafnya ramah, kamar bersih, parkiran aga sempit",Positif,Positif,Positif,None,Positif,Negatif,None,
35,Traveloka,Bandung,Atlantic City Hotel,7/19/2025,"untuk jarak strategis, untuk kebersihan kamar oke, luas, dapet free snack banyak banget. untuk cafe nya oke, ada live music juga, makanan dicafe nya enak. untuk sarapan makanannya ga begitu banyak pilihan tp oke makanannya kumayan enak.",Positif,Positif,None,None,Positif,Positif,Netral,
36,Traveloka,Bandung,Atlantic City Hotel,7/19/2025,"staf ramah semua... Tempat strategis, mau jalan ke mana-mana.",None,None,Positif,None,Positif,None,None,
37,Traveloka,Bandung,Atlantic City Hotel,7/12/2025,rooftop yg oke..... bagus!!!!!!!!!!!!,None,None,None,None,None,Positif,None,
38,Traveloka,Bandung,Atlantic City Hotel,7/12/2025,Kamar sangat bagus dan bersih.,Positif,None,None,None,None,None,None,
39,Traveloka,Bandung,Atlantic City Hotel,6/28/2025,"Biasa saja, tidak ada yang istimewa, cukup mahal untuk liburan panjang",None,None,None,Negatif,None,None,None,
40,Traveloka,Bandung,Atlantic City Hotel,6/7/2025,"Lokasinya cukup strategis, sebelah persis ada KFC dan sebrangnya ada LivingWorld mal dan MacDonald. Dekat kemana2, tapi sayangnya kamarnya ga kedap suara. Jadi suara bising jalan pun terdengar. sarapan minimalis, jadi lebih baik ga pake sarapan, karena deket tempat jajan. Plus kamar mandinya bau rokok biarpun katanya kamar bebas rokok. Tapi untuk keramahan, harga dan lokasi strategisnya secara keseluruhan sepadan dengan harga sih...",Negatif,Negatif,Positif,Netral,Positif,None,Netral,
